Nom.officiel.du.satellite;Organisation.de.pays.du.registre.de.l'ONU;Opérateur.propriétaire;Pays.de.l'opérateur.propriétaire;Utilisateurs;Objectif;Date.de.lancement;fournisseur;Pays.du.fournisseur;Site.de.lancement;Véhicule.de.lancement
Gonets M-19;Russia;Gonets Satcom;Russia;Commercial/Government;Communications;7/3/2014;M.F.Â Reshetnev Information Satellite Systems;Russia;Plesetsk Cosmodrome;Rokot
Gonets M-20;Russia;Gonets Satcom;Russia;Commercial/Government;Communications;7/3/2014;M.F.Â Reshetnev Information Satellite Systems;Russia;Plesetsk Cosmodrome;Rokot
GPM Core Observatory;NR;NASA/JAXA;USA/Japan;Government;Earth Observation;2/27/2014;NASA/Goddard Space Flight Center;USA;Tanegashima Space Center;H2A
"Gravity Recovery and Climate Experiment (Grace 1, ""Tom and Jerry"")";Germany/USA;GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas;Germany/USA;Civil;Earth Observation;3/17/2002;Jet Propulsion Laboratory (NASA)/Space Systems/Loral/Astrium GmBH;Germany/USA;Plesetsk Cosmodrome;Rokot
"Gravity Recovery and Climate Experiment (Grace 2, ""Tom and Jerry"")";Germany/USA;GeoForschungsZentrum (GFZ)/Center for Space Research, University of Texas;Germany/USA;Civil;Earth Observation;3/17/2002;Jet Propulsion Laboratory (NASA)/Space Systems/Loral/Astrium GmBH;Germany/USA;Plesetsk Cosmodrome;Rokot
Ibuki;Japan;Japan Aerospace Exploration Agency (JAXA);Japan;Civil;Earth Observation;1/23/2009;Mitsubishi Electric;Japan;Tanegashima Space Center;H2A
GRIFEX;NR;University of Michigan/NASA Earth Science Technology Office;USA;Government/Civil;Technology Development;1/31/2015;Michigan Exploration Laboratory, University of Michigan;USA;Vandenberg AFB;Delta 2
GSAT-10;India;Indian Space Research Organization (ISRO);India;Government;Communications;9/28/2012;Indian Space Research Organization (ISRO);India;Guiana Space Center;Ariane 5
GSAT-12;India;Indian Space Research Organization (ISRO);India;Government;Communications;7/15/2011;Indian Space Research Organization (ISRO);India;Satish Dhawan Space Center;PSLV C17
GSAT-14;India;Indian Space Research Organization (ISRO);India;Government;Communications;1/5/2014;Indian Space Research Organization (ISRO);India;Satish Dhawan Space Center;GSLV
GSAT-15;NR;Indian Space Research Organization (ISRO);India;Government;Communications;1/10/2015;Indian Space Research Organization (ISRO);India;Guiana Space Center;Ariane 5
GSAT-16;NR;Indian Space Research Organization (ISRO);India;Government;Communications;12/6/2014;Indian Space Research Organization (ISRO);India;Guiana Space Center;Ariane 5 ECA
GSAT-2;India;Indian Space Research Organization (ISRO);India;Government;Communications/Technology Development;5/8/2003;Indian Space Research Organization (ISRO);India;Satish Dhawan Space Center;GSLV D2
GSAT-6;NR;Indian National Satellite (INSAT);India;Government/Commercial;Communications;8/27/2015;Indian Space Research Organization (ISRO);India;Satish Dhawan Space Center;GSLV
GSAT-7;India;Indian National Satellite System ;India;Military;Communications;8/29/2013;Indian Space Research Organization (ISRO);India;Guiana Space Center;Ariane 5 ECA
GSAT-8;India;Indian Space Research Organization (ISRO);India;Government;Communications/Navigation;5/20/2011;Indian Space Research Organization (ISRO);India;Guiana Space Center;Ariane 5
USA 253;USA;Air Force Satellite Control Network;USA;Military;Space Observation;7/28/2014;Orbital Sciences Corp.;USA;Cape Canaveral;Delta 4M
USA 254;USA;Air Force Satellite Control Network;USA;Military;Space Observation;7/28/2014;Orbital Sciences Corp.;USA;Cape Canaveral;Delta 4M
Haiyang 2A;China;State Oceanic Administration (SOA);China;Government;Earth Observation;8/15/2011;China Academy of Space Technology (CAST);China;Taiyuan Launch Center;Long March 4B
Helios 2A;NR;Centre National d'Etudes Spatiales (CNES)/DÃ©lÃ©gation GÃ©nÃ©rale de l'Armement (DGA);France/Italy/Belgium/Spain/Greece;Military;Earth Observation;12/18/2004;EADS Astrium;France/UK/Germany/Spain;Guiana Space Center;Ariane 5G
Helios 2B;France;Centre National d'Etudes Spatiales (CNES)/DÃ©lÃ©gation GÃ©nÃ©rale de l'Armement (DGA);France/Italy/Belgium/Spain/Greece;Military;Earth Observation;12/18/2009;EADS Astrium;France/UK/Germany/Spain;Guiana Space Center;Ariane 5
HellasSat 2;Greece;Hellas-Sat Consortium Ltd.;Greece;Commercial;Communications;5/12/2003;Astrium;France, UK, Germany;Cape Canaveral;Atlas 5
RHESSI (Reuven Ramaty High Energy Solar Spectroscopic Imager);USA;Space Sciences Laboratory, UC Berkeley/NASA;USA;Government/Civil;Space Science;2/5/2002;Spectrum Astro, Inc.;USA;Cape Canaveral;Pegasus
Himawari 8;Japan;Japan Meteorological Agency/Meteorological Satellite Center (MSC);Japan;Government;Earth Observation;10/7/2014;Mitsubishi Electric;Japan;Tanegashima Space Center;H-2A
Hinode;Japan;Institute of Space and Aeronautical Science/NASA;Multinational;Government;Space Science;10/22/2006;Institute of Space and Aeronautical Science, University of Tokyo/NASA;Japan/USA/UK/Germany;Uchinoura Space Center;JAXA M-V
Hisaki;Japan;Japan Aerospace Exploration Agency (JAXA);Japan;Government;Space Science;9/14/2013;NEC Corporation;Japan;Uchinoura Space Center;Epsilon
Hispasat 1C;Spain;Hispasat;Spain;Commercial/Gov/Mil;Communications;2/4/2000;Alcatel Space Industries;France;Cape Canaveral;Atlas 2AS
Hispasat 1D;Spain;Hispasat;Spain;Commercial/Gov/Mil;Communications;9/18/2002;Aerospatiale (Alcatel Space Industries);France;Cape Canaveral;Atlas 2AS
Hispasat 1E;NR;Hispasat;Spain;Commercial;Communications;12/29/2010;Space Systems/Loral;USA;Guiana Space Center;Ariane 5
HJ-1A;China;National Remote Sensing Center (NRSCC);China;Government;Earth Observation;9/5/2008;Chinese Academy of Space Technology (CAST)/DFH Satellite;China;Taiyuan Launch Center;Long March 2C
HJ-1B;China;National Remote Sensing Center (NRSCC);China;Government;Earth Observation;9/5/2008;Chinese Academy of Space Technology (CAST)/DFH Satellite;China;Taiyuan Launch Center;Long March 2C
HJ-1C;China;National Committee for Disaster Reduction and State Environmental Protection;China;Government;Earth Observation;11/18/2012;Chinese Academy of Space Technology (CAST)/DFH Satellite;China;Taiyuan Launch Center;Long March 2C
Hodoyoshi-1;NR;University of Tokyo and NESTRA;Japan;Government;Earth Observation;11/6/2014;University of Tokyo;Japan;Dombarovsky Air Base;Dnepr
Hodoyoshi-3;Japan;University of Tokyo and NESTRA;Japan;Government;Technology Development;6/19/2014;University of Tokyo;Japan;Dombarovsky Air Base;Dnepr
Hodoyoshi-4;Japan;University of Tokyo and NESTRA;Japan;Government;Technology Development;6/19/2014;University of Tokyo;Japan;Dombarovsky Air Base;Dnepr
Horizons 2;USA;Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation);USA/Japan;Commercial;Communications;12/21/2007;Orbital Sciences Corp.;USA;Guiana Space Center;Ariane 5
Horyu-2;Japan;Kyushu Institute of Technology (KIT);Japan;Civil;Technology Development;5/17/2012;Kyushu Institute of Technology (KIT);Japan;Tanegashima Space Center;H-2A
Horyu-4;NR;Kyushu Institute of Technology (KIT);Japan;Civil;Technology Development;2/17/2016;Kyushu Institute of Technology (KIT);Japan;Tanegashima Space Center;H-2A
Hubble Space Telescope;USA;European Space Agency/NASA;ESA/USA;Government;Space Science;4/25/1990;European Space Agency/NASA;International;Cape Canaveral;Space Shuttle (STS 31)
HumSat-D;NR;University of Vigo;Spain;Civil;Technology Development;11/21/2013;University of Vigo;Spain;Dombarovsky Air Base;Dnepr
HYLAS 1;United Kingdom;Avanti Communications, PLC;United Kingdom;Commercial;Communications;11/26/2010;EADS Astrium;France;Guiana Space Center;Ariane 5
HYLAS 2;United Kingdom;Avanti Communications, PLC;United Kingdom;Commercial;Communications;8/2/2012;Orbital Sciences Corp.;USA;Guiana Space Center;Ariane 5 ECA
IGS-3A;Japan;Cabinet Satellite Intelligence Center (CSIC);Japan;Government;Earth Observation;9/11/2006;Mitsubishi;Japan;Tanegashima Space Center;H2A
IGS-5A;Japan;Cabinet Satellite Intelligence Center (CSIC);Japan;Government;Earth Observation;11/28/2009;Mitsubishi/Toshiba;Japan;Tanegashima Space Center;H2A
IGS-6A;Japan;Cabinet Satellite Intelligence Center (CSIC);Japan;Government;Earth Observation;9/23/2011;Mitsubishi/Toshiba;Japan;Tanegashima Space Center;H2A
IGS-7A;Japan;Cabinet Satellite Intelligence Center (CSIC);Japan;Government;Earth Observation;12/12/2011;Mitsubishi/Toshiba;Japan;Tanegashima Space Center;H2A
IGS-8A;Japan;Cabinet Satellite Intelligence Center (CSIC);Japan;Government;Earth Observation;1/27/2013;Mitsubishi Electric;Japan;Tanegashima Space Center;H2A
IGS-8B;Japan;Cabinet Satellite Intelligence Center (CSIC);Japan;Government;Earth Observation;1/27/2013;Mitsubishi Electric;Japan;Tanegashima Space Center;H2A
IGS-9A;NR;Cabinet Satellite Intelligence Center (CSIC);Japan;Government;Earth Observation;1/31/2015;Mitsubishi Electric;Japan;Tanegashima Space Center;H2A
IGS-9B;NR;Cabinet Satellite Intelligence Center (CSIC);Japan;Government;Earth Observation;3/26/2015;Mitsubishi Electric;Japan;Tanegashima Space Center;H2A
USA 184;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;6/28/2006;National Reconnaissance Laboratory;USA;Vandenberg AFB;Delta 4
USA 200;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;3/13/2008;National Reconnaissance Laboratory;USA ;Vandenberg AFB;Atlas 5
USA 259;USA;National Reconnaissance Office (NRO);USA;Military;Earth Observation;12/13/2014;National Reconnaissance Laboratory;USA;Vandenberg AFB;Atlas 5
INMARSAT 3 F1;NR;INMARSAT, Ltd.;United Kingdom;Commercial;Communications;4/3/1996;Lockheed Martin Commercial Space Systems;USA;Cape Canaveral;Atlas 2A
INMARSAT 3 F2;NR;INMARSAT, Ltd.;United Kingdom;Commercial;Communications;9/6/1996;Lockheed Martin Commercial Space Systems;USA;Baikonur Cosmodrome;Proton
INMARSAT 3 F3;NR;INMARSAT, Ltd.;United Kingdom;Commercial;Communications;12/18/1996;Lockheed Martin Commercial Space Systems;USA;Cape Canaveral;Atlas
INMARSAT 3 F4;NR;INMARSAT, Ltd.;United Kingdom;Commercial;Communications;6/3/1997;Lockheed Martin Commercial Space Systems;USA;Guiana Space Center;Ariane 44L
INMARSAT 3 F5;NR;INMARSAT, Ltd.;United Kingdom;Commercial;Communications;2/4/1998;Lockheed Martin Commercial Space Systems;USA;Guiana Space Center;Ariane 44L
INMARSAT 4 F1;United Kingdom;INMARSAT, Ltd.;United Kingdom;Commercial;Communications;3/11/2005;EADS Astrium;France/UK/Germany;Cape Canaveral;Atlas 5
INMARSAT 4 F2;United Kingdom;INMARSAT, Ltd.;United Kingdom;Commercial;Communications;11/8/2005;EADS Astrium;France/UK/Germany;Sea Launch (Odyssey);Zenit 3SL
INMARSAT 4 F3;United Kingdom;INMARSAT, Ltd.;United Kingdom;Commercial;Communications;8/18/2008;EADS Astrium;France/UK/Germany;Baikonur Cosmodrome;Proton M
INMARSAT 5 F1;United Kingdom;INMARSAT, Ltd.;United Kingdom;Commercial;Communications;12/8/2013;Boeing;USA;Baikonur Cosmodrome;Proton M
INMARSAT 5 F2;United Kingdom;INMARSAT, Ltd.;United Kingdom;Commercial;Communications;2/1/2015;Boeing;USA;Baikonur Cosmodrome;Proton M
INMARSAT 5 F3;United Kingdom;INMARSAT, Ltd.;United Kingdom;Commercial;Communications;8/28/2015;Boeing;USA;Baikonur Cosmodrome;Proton M
INSAT 3A;India;Indian Space Research Organization (ISRO);India;Government;Earth Observation;4/9/2003;ISRO Satellite Center;India;Guiana Space Center;Ariane 5
INSAT 3C;India;Indian Space Research Organization (ISRO);India;Government;Communications;1/23/2002;ISRO Satellite Center;India;Guiana Space Center;Ariane 4
INSAT 3D;India;Indian Space Research Organization (ISRO);India;Government;Earth Observation;7/25/2013;ISRO Satellite Center;India;Guiana Space Center;Ariane 5 ECA
INSAT 4A;India;Indian Space Research Organization (ISRO);India;Government;Communications;12/21/2005;ISRO Satellite Center;India;Guiana Space Center;Ariane 5G
INSAT 4B;India;Indian Space Research Organization (ISRO);India;Government;Communications;3/11/2007;Indian Space Research Organization (ISRO);India;Guiana Space Center;Ariane 5 ECA
INSAT 4CR;India;Indian Space Research Organization (ISRO);India;Government;Communications;9/2/2007;Indian Space Research Organization (ISRO);India;Satish Dhawan Space Center;GSLV F04
INTErnational Gamma-Ray Astrophysics Laboratory (INTEGRAL);ESA;European Space Operations Centre (ESOC)/NASA/Russia;ESA/USA/Russia;Government;Space Science;10/17/2002;Alenia Aerospazio (and 28 subcontractors);Italy/International;Baikonur Cosmodrome;Proton
Intelsat 10;USA;PanAmSat (Intelsat, S.A.);USA;Commercial;Communications;5/14/2001;Boeing Satellite Systems;USA;Baikonur Cosmodrome;Proton
Intelsat 10-02;USA;Intelsat, S.A.;USA;Commercial;Communications;6/16/2004;EADS Astrium;UK/France/Germany/Spain;Baikonur Cosmodrome;Proton
Intelsat 11;USA;PanAmSat (Intelsat, S.A.);USA;Commercial;Communications;10/5/2007;Orbital Sciences Corp.;USA;Guiana Space Center;Ariane 5
Intelsat 12;United Kingdom;Intelsat, S.A.;USA;Commercial;Communications;10/29/2000;Alcatel Space Industries;France;Guiana Space Center;Ariane 44LP
Intelsat 14;USA;Intelsat, S.A.;USA;Commercial;Communications;11/23/2009;Space Systems/Loral;USA;Cape Canaveral;Atlas
Intelsat 15;USA;Intelsat, S.A./Sky Perfect JSAT Corp.;USA;Commercial;Communications;11/30/2009;Orbital Sciences Corp.;USA;Baikonur Cosmodrome;Zenit 3SLB
Intelsat 16;USA;Intelsat, S.A.;USA;Commercial;Communications;2/12/2010;Orbital Sciences Corp.;USA;Baikonur Cosmodrome;Proton M
Intelsat 17;USA;Intelsat, S.A.;USA;Commercial;Communications;11/26/2010;Space Systems/Loral;USA;Guiana Space Center;Ariane 5
